customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_zscore,tenure_outlier_z,MonthlyCharges_zscore,MonthlyCharges_outlier_z,TotalCharges_zscore,TotalCharges_outlier_z,tenure_outlier_iqr,MonthlyCharges_outlier_iqr,TotalCharges_outlier_iqr,outlier_iso
7590-VHVEG,Female,0,Yes,No,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1603229160349193,-0.9942419353101233,No,-1.2774445836787656,0,-1.1603229160349193,0,-0.9942419353101233,0,0,0,0,0
5575-GNVDE,Male,0,No,No,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.2596289419448806,-0.17324412574959375,No,0.06632741908223598,0,-0.2596289419448806,0,-0.17324412574959375,0,0,0,0,0
3668-QPYBK,Male,0,No,No,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3626603559551803,-0.9596740712020441,Yes,-1.2367242199587352,0,-0.3626603559551803,0,-0.9596740712020441,0,0,0,0,0
7795-CFOCW,Male,0,No,No,0.5142514200025698,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.7465354629935549,-0.19476626336477718,No,0.5142514200025698,0,-0.7465354629935549,0,-0.19476626336477718,0,0,0,0,0
9237-HQITU,Female,0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19736523310080326,-0.9404697022531111,Yes,-1.2367242199587352,0,0.19736523310080326,0,-0.9404697022531111,0,0,0,0,0
9305-CDSKC,Female,0,No,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1595456961969886,-0.6451859741727949,Yes,-0.9924020376385531,0,1.1595456961969886,0,-0.6451859741727949,0,0,0,0,0
1452-KIOVK,Male,0,No,Yes,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8089065291619363,-0.14679948896704018,No,-0.4223169455581282,0,0.8089065291619363,0,-0.14679948896704018,0,0,0,0,0
6713-OKOMC,Female,0,No,No,-0.9109613101984924,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1636465100352518,-0.8741373704237511,No,-0.9109613101984924,0,-1.1636465100352518,0,-0.8741373704237511,0,0,0,0,0
7892-POOKP,Female,0,Yes,No,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.330710787214099,0.3373492744317471,Yes,-0.1779947632379461,0,1.330710787214099,0,0.3373492744317471,0,0,0,0,0
6388-TABGU,Male,0,No,Yes,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.28621769394753876,0.5324391741681479,No,1.2064976032430856,0,-0.28621769394753876,0,0.5324391741681479,0,0,0,0,0
